Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.119,0.49,0.956,0.964
0.0,1.0,11.841,29.322,0.031
0.459,0.528,1.898,4.614,0.539
0.0,1.0,11.355,28.849,0.032
0.0,1.0,16.994,44.141,0.014
0.622,0.477,1.646,3.994,0.631
0.0,1.0,14.221,36.86,0.02
0.378,0.533,1.718,3.895,0.546
0.0,1.0,11.126,27.722,0.035
0.0,1.0,9.85,24.611,0.043
0.0,1.0,11.37,31.262,0.029
0.081,0.906,8.564,20.472,0.086
0.0,1.0,16.175,41.839,0.016
0.027,0.964,10.543,27.187,0.045
0.0,1.0,12.161,33.431,0.025
0.0,1.0,9.948,25.926,0.04
0.054,0.941,10.1,26.741,0.056
0.0,1.0,15.701,40.788,0.017
0.081,0.906,6.419,14.116,0.133
0.0,1.0,10.102,26.173,0.039
0.027,0.957,10.454,26.901,0.046
0.0,1.0,12.284,31.083,0.028
0.243,0.735,4.888,11.766,0.224
0.0,1.0,15.59,42.349,0.016
0.0,1.0,16.669,44.98,0.014
0.0,1.0,11.799,29.33,0.031
0.0,1.0,10.425,28.846,0.033
0.0,1.0,13.793,33.98,0.024
0.0,1.0,13.014,31.894,0.026
0.0,1.0,14.475,39.741,0.018
0.0,1.0,15.778,40.541,0.017
0.0,1.0,12.234,29.995,0.03
0.027,0.969,3.14,7.751,0.253
0.0,1.0,11.699,32.189,0.027
0.0,1.0,14.931,40.2,0.018
0.0,1.0,11.956,30.915,0.029
0.243,0.679,3.404,8.292,0.306
0.0,1.0,10.593,27.325,0.036
0.297,0.621,3.009,6.925,0.366
0.0,1.0,17.926,46.979,0.013
0.054,0.939,8.889,22.539,0.069
0.0,1.0,12.697,33.739,0.024
0.0,1.0,11.155,28.048,0.034
0.0,1.0,13.835,35.566,0.022
0.568,0.222,2.111,4.985,0.549
0.081,0.893,6.577,14.57,0.128
0.162,0.824,7.149,16.927,0.135
0.0,1.0,16.504,44.578,0.014
0.027,0.971,11.672,30.341,0.039
0.0,1.0,16.867,44.031,0.015
0.0,1.0,10.626,27.662,0.035
0.027,0.976,2.446,6.045,0.321
0.0,1.0,10.874,29.926,0.031
0.027,0.963,10.718,28.661,0.042
0.0,1.0,16.521,43.491,0.015
0.0,1.0,14.827,39.167,0.018
0.081,0.919,6.255,14.223,0.133
0.135,0.857,3.409,8.498,0.266
0.081,0.929,7.175,17.245,0.106
0.0,1.0,12.777,35.205,0.023
0.0,1.0,15.97,42.808,0.016
0.0,1.0,12.036,31.679,0.027
0.0,1.0,10.352,28.498,0.034
0.027,0.964,10.544,26.578,0.047
0.162,0.793,5.705,13.37,0.172
0.0,1.0,13.919,35.779,0.022
0.0,1.0,12.924,33.057,0.025
0.081,0.925,6.777,15.013,0.124
0.0,1.0,14.347,37.856,0.02
0.0,1.0,11.648,30.358,0.03
0.162,0.739,3.106,7.246,0.31
0.0,1.0,10.78,27.184,0.036
0.0,1.0,15.131,38.84,0.018
0.0,1.0,12.29,30.185,0.029
0.081,0.919,7.015,16.825,0.109
0.0,1.0,15.338,41.323,0.017
0.0,1.0,13.206,32.925,0.025
0.0,1.0,10.975,27.315,0.036
0.216,0.771,1.541,3.37,0.522
0.0,1.0,11.671,29.676,0.031
0.054,0.938,9.883,24.61,0.061
0.108,0.857,3.433,8.626,0.254
0.0,1.0,10.893,28.693,0.033
0.0,1.0,9.78,26.541,0.039
0.0,1.0,12.072,29.873,0.03
0.0,1.0,13.906,35.715,0.022
0.0,1.0,14.049,36.377,0.021
0.0,1.0,10.646,27.681,0.035
0.054,0.917,6.206,14.424,0.122
0.0,1.0,11.014,27.404,0.035
0.0,1.0,13.729,35.124,0.022
0.0,1.0,13.96,35.785,0.022
0.0,1.0,16.898,44.017,0.015
0.162,0.739,7.981,19.532,0.119
0.108,0.875,7.458,17.355,0.113
0.027,0.963,10.504,26.256,0.047
0.0,1.0,14.079,38.374,0.019
0.0,1.0,9.981,27.108,0.037
0.0,1.0,12.487,31.499,0.027
0.0,1.0,11.396,29.111,0.032
